Depth (nm)	Load (µN)
395.051541	2634.665521
395.09396	2638.722988
395.418514	2642.667356
395.774508	2646.705901
396.017823	2650.696109
396.476509	2654.691834
397.958724	2658.705743
398.442554	2662.694412
398.72124	2666.705133
398.942645	2670.724291
399.005674	2674.704294
399.474797	2678.705642
399.611751	2682.725506
400.036238	2686.703363
400.338486	2690.72046
400.64724	2694.720806
400.885894	2698.723112
400.933569	2702.714674
401.247055	2706.743534
401.463742	2710.72966
402.018002	2714.734537
402.91485	2718.732558
403.246263	2722.7434
403.874073	2726.74417
404.334337	2730.735852
404.833907	2734.744718
404.963757	2738.739931
405.15222	2742.764176
405.270229	2746.739907
405.628094	2750.75724
406.017956	2754.763225
406.621621	2758.751188
407.466096	2762.768054
407.67682	2766.758739
407.962518	2770.760404
408.256005	2774.791347
408.652638	2778.764381
408.895462	2782.773808
409.571046	2786.779813
410.22095	2790.778604
410.562746	2794.78875
410.869813	2798.773131
411.118166	2802.794205
411.388022	2806.793528
411.555507	2810.809221
411.799004	2814.786823
412.372238	2818.794041
